Description,Rule set,Rule,,,,,,Rule set,Rule
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'assitantWork' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'assitant' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'teacode' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'assitantwork2' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'assitantWork' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid variables with short names like id,Naming,ShortVariable,,,,,,,
Local variable 'id' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'fileNames' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'newInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql1' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql2' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql3' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'teaCode' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'teaSort' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid variables with short names like i,Naming,ShortVariable,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'newInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid variables with short names like i,Naming,ShortVariable,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid variables with short names like i,Naming,ShortVariable,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'assitant' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'fileNames' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'fileNames' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'imintro' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'fileNames' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'imintro' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'newFileCode' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid variables with short names like i,Naming,ShortVariable,,,,,,,
An empty statement (semicolon) not part of a loop,Empty Code,EmptyStatementNotInLoop,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Avoid using redundant field initializer for 'conn',Optimization,RedundantFieldInitializer,,,,,,,
Avoid using redundant field initializer for 'rs',Optimization,RedundantFieldInitializer,,,,,,,
Avoid variables with short names like rs,Naming,ShortVariable,,,,,,,
Avoid using redundant field initializer for 'smt',Optimization,RedundantFieldInitializer,,,,,,,
Parameter 'dataSource' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'login' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Avoid using redundant field initializer for 'conn',Optimization,RedundantFieldInitializer,,,,,,,
Avoid using redundant field initializer for 'rs',Optimization,RedundantFieldInitializer,,,,,,,
Avoid variables with short names like rs,Naming,ShortVariable,,,,,,,
Avoid using redundant field initializer for 'smt',Optimization,RedundantFieldInitializer,,,,,,,
Parameter 'dataSource' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'scheduleplanlistU' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sqlU' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'scheduleplanU' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'scheduleplanlistM' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sqlM' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'scheduleplanM' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'scheduleplanlistE' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sqlE' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'scheduleplanE' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'scheduleplanlistD' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sqlD' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'scheduleplanD' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'scheduleplanlistF' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sqlF' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'scheduleplanF' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'scheduleplan' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sqlup' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'planList' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sqlPlan' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'plan' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
"This class has too many methods, consider refactoring it.",Code Size,TooManyMethods,,,,,,,
Avoid using redundant field initializer for 'conn',Optimization,RedundantFieldInitializer,,,,,,,
Avoid using redundant field initializer for 'rs',Optimization,RedundantFieldInitializer,,,,,,,
Avoid variables with short names like rs,Naming,ShortVariable,,,,,,,
Avoid using redundant field initializer for 'smt',Optimization,RedundantFieldInitializer,,,,,,,
Parameter 'dataSource' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'symList' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'sym' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'graYearList' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'year' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'graduationList' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'graduation' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'masterPaperList' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'masterPaper' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'eMasterPaperList' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'eMasterPaper' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'masterCategory' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'category' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'masterPaperYear' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'year' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'EmasterPaperYear' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'year' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Local variable 'awardList' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'award' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'sym' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'graduation' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'paperInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'award' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'sym' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'graduation' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'paperid' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'award' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'sql' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid empty catch blocks,Empty Code,EmptyCatchBlock,,,,,,,
Parameter 'sym' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
